Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
Anton1986,1374,+7,Rated Classical game,Queen's Pawn Game,0,https://lichess.org/VUIELIhu,Normal,300+5,eathomas,1241,-7,307,1374,-133
falanx,1607,+12,Rated Bullet game,Scandinavian Defense,0,https://lichess.org/uoykn9vM,Normal,60+0,Rahstah,1655,-12,52,1607,48
ggpeti,1285,-13,Rated Classical game,Bird Opening,1,https://lichess.org/FEDPsYRg,Normal,600+0,werdna141,1460,+6,-63,1285,175
MongolZ,1508,+45,Rated Blitz tournament https://lichess.org/tournament/ALSPH3ta,King's Gambit,0,https://lichess.org/2KmQmoXw,Time forfeit,300+0,moloko7,1429,-10,30,1508,-79
efo,1717,-15,Rated Bullet game,Zukertort Opening,1,https://lichess.org/indwRygn,Normal,60+0,augustus_hill,1604,+14,-104,1717,-113
_balidani,1420,+55,Rated Bullet game,Scandinavian Defense,0,https://lichess.org/kx5IN44q,Time forfeit,120+0,vika-5,1383,-9,22,1420,-37
pseudoknight,1850,-6,Rated Bullet game,Zukertort Opening,1,https://lichess.org/b4JTONkM,Normal,60+0,igo1,2062,+6,-67,1850,212
gurzo2013,1586,+1,Rated Classical game,Philidor Defense #3,0,https://lichess.org/xio62vjy,Normal,600+8,toio64,1112,-4,82,1586,-474
KTtris,1711,-12,Rated Blitz game,Vienna Game,1,https://lichess.org/AYsiQm39,Normal,300+0,GIL180363,1673,+12,29,1711,-38
bodul,1600,-4,Rated Blitz game,Four Knights Game,2,https://lichess.org/L8TPzh9l,Normal,300+2,-raffdj,1438,+5,22,1600,-162
aburkan,1430,-4,Rated Classical game,Philidor Defense #2,1,https://lichess.org/CX3PVMro,Normal,540+0,Amiir,1773,+3,245,1430,343
nazaki1234,2062,+7,Rated Bullet game,Zukertort Opening,0,https://lichess.org/OLkTerm8,Normal,60+0,Kobylka,1927,-7,9,2062,-135
DolfjeWeerwolfje,1795,+19,Rated Bullet game,Hungarian Opening,0,https://lichess.org/0hw5bt74,Normal,60+0,faryad22,1829,-12,37,1795,34
play24Md,1654,+6,Rated Blitz game,Sicilian Defense,2,https://lichess.org/EwhDKXe0,Time forfeit,180+0,frasta,1830,-9,200,1654,176
juniorbr21,1265,-14,Rated Bullet tournament https://lichess.org/tournament/GryAvpp1,Mieses Opening,1,https://lichess.org/YLkWNM95,Time forfeit,60+0,IngUNIFIIS,1735,+2,260,1265,470
