Black,BlackElo,BlackRatingDiff,Event,Opening,Result,Site,Termination,TimeControl,White,WhiteElo,WhiteRatingDiff,Eval,WinElo,EloDiff
ab3n6,1535,-9,Rated Classical game,English Opening,1,https://lichess.org/TCNGKkuA,Normal,900+0,cordoba,1627,+9,105,1535,92
mrpleasant,1343,+8,Rated Blitz game,Rat Defense,0,https://lichess.org/hZwGBeUk,Normal,360+0,chessmen,1244,-8,109,1343,-99
TinyCat,1594,-7,Rated Bullet game,Hungarian Opening,1,https://lichess.org/cHn0emwG,Normal,0+1,lichinut,1717,+7,177,1594,123
yemes,1305,-13,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/Ty1MK48B,Normal,1200+0,Gennadiy1985,1236,+12,-156,1305,-69
NoJob,1812,+5,Rated Classical game,Sicilian Defense,0,https://lichess.org/Eei9AHEQ,Normal,600+5,Humberto,1583,-5,-3,1812,-229
sella,1811,+0,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Sicilian Defense,2,https://lichess.org/6MPu9j66,Normal,300+0,grasshopper,1808,+0,118,1811,-3
KB5252,1493,+21,Rated Classical game,King's Pawn Game,0,https://lichess.org/zzxfR7Ft,Time forfeit,480+0,Amiir,1798,-25,44,1493,305
utrilla,1608,+13,Rated Classical game,King's Gambit,0,https://lichess.org/kcXqovk3,Normal,600+15,Venancio,1692,-14,148,1608,84
patolomeu,1548,-10,Rated Blitz game,St. George Defense,1,https://lichess.org/jZtnoduK,Normal,300+0,Perfectionisttt,1560,+11,172,1548,12
newslon,1692,+6,Rated Bullet game,French Defense,2,https://lichess.org/yempoEK3,Normal,120+1,Richarty,1864,-4,0,1692,172
Tonkata123,1949,+3,Rated Classical game,Queen's Gambit Declined,0,https://lichess.org/TNy7coYS,Normal,300+8,shocktrooper,1625,-3,55,1949,-324
aslk,1674,+7,Rated Bullet game,Caro-Kann Defense,0,https://lichess.org/mibxJDeY,Time forfeit,0+1,PILOTVE,1557,-8,437,1674,-117
Richard10,1618,+12,Rated Blitz game,Nimzo-Larsen Attack,0,https://lichess.org/jEDjFapZ,Normal,300+0,peaopeao,1664,-12,-25,1618,46
lichinut,1724,-15,Rated Bullet game,Van't Kruijs Opening,1,https://lichess.org/A8rKcTvb,Time forfeit,0+1,TinyCat,1587,+15,-8,1724,-137
xequemater,1151,-3,Rated Classical game,King's Knight Opening,1,https://lichess.org/5VwL2EwX,Normal,600+0,Bogdan_271051,1577,+2,550,1151,426
yincao,1343,-3,Rated Blitz game,Zukertort Opening,1,https://lichess.org/NUGSVfcM,Time forfeit,180+0,chico202000,1639,+4,4,1343,296
Muschicat,1796,-3,Rated Blitz game,Van Geet Opening,1,https://lichess.org/fF8D2lSJ,Normal,300+0,bardamu35,2142,+3,137,1796,346
alitis,1702,-26,Rated Classical game,King's Gambit Accepted,1,https://lichess.org/GTNfdt28,Time forfeit,300+8,acer,1764,+9,820,1702,62
Byuzich,1424,-9,Rated Classical game,Sicilian Defense,1,https://lichess.org/kdtZEpqY,Normal,300+5,JakestheSnakes,1482,+10,5,1424,58
ctejas,1458,-17,Rated Classical game,King's Pawn Game,1,https://lichess.org/dVvuCQlS,Time forfeit,420+8,williamchenmodafoka,1238,+18,416,1458,-220
Murderinlaw,1706,-14,Rated Bullet game,Queen's Pawn,1,https://lichess.org/OI8XES4r,Time forfeit,0+2,falanx,1609,+14,194,1706,-97
CanardFou,1216,+7,Rated Blitz game,French Defense,0,https://lichess.org/qXlwbUwb,Normal,60+3,R7000,1034,-11,249,1216,-182
biv64,1567,-1,Rated Classical game,French Defense,2,https://lichess.org/WjWFmaVy,Normal,600+0,GRUNKER,1558,+0,248,1567,-9
Zzorro,1755,-12,Rated Bullet game,Queen's Pawn Game #2,1,https://lichess.org/EeqevxZg,Normal,60+0,bombozik,1706,+12,37,1755,-49
aqua77,1349,+6,Rated Blitz game,Bishop's Opening,2,https://lichess.org/aX6e1v2V,Normal,420+0,cercliste,1534,-5,162,1349,185
PILOTVE,1549,+16,Rated Bullet game,English Opening,0,https://lichess.org/DUnKpFMT,Time forfeit,0+1,aslk,1681,-14,9,1549,132
Lligue,1232,+12,Rated Classical game,King's Pawn Game,0,https://lichess.org/ZpZQTEsb,Normal,240+6,CartoonAddict,1315,-89,-305,1232,83
valerioneto,1567,-13,Rated Classical game,English Opening,1,https://lichess.org/3qEIPbCW,Normal,600+0,Friedrich,1522,+12,29,1567,-45
champtazz14,1560,+13,Rated Blitz game,Sicilian Defense,0,https://lichess.org/vYPAVAVN,Normal,240+1,ArchisT,1624,-12,31,1560,64
caballomanco,1774,-13,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Queen's Gambit Declined,1,https://lichess.org/9cO6p6x5,Normal,300+0,avo1948,1720,+13,-41,1774,-54
Johaquimov,1853,+11,Rated Blitz game,Sicilian Defense,0,https://lichess.org/Fq6x8d4E,Normal,300+0,Annibal,1875,-12,62,1853,22
bombozik,1718,+11,Rated Bullet game,French Defense,0,https://lichess.org/tWrh98kK,Normal,60+0,Zzorro,1743,-11,-35,1718,25
Process,1999,+4,Rated Blitz game,Caro-Kann Defense,0,https://lichess.org/DCF6nlW3,Time forfeit,300+0,tabelatabela,1735,-4,24,1999,-264
luiguimon0305,1500,-67,Rated Bullet game,Nimzo-Larsen Attack,1,https://lichess.org/s1zQeoqT,Time forfeit,60+0,Firebird82,1820,+3,33,1500,320
thp21,1519,+8,Rated Classical game,Sicilian Defense,0,https://lichess.org/R00DkPHS,Normal,300+5,Carlozzo79,1379,-7,62,1519,-140
pelao,1595,+1,Rated Blitz game,King's Gambit Accepted,0,https://lichess.org/xx3XGGUi,Normal,240+2,BlunderPawn,1056,-6,12,1595,-539
khardal,1926,+2,Rated Blitz game,Sicilian Defense,0,https://lichess.org/JARNpuJ9,Time forfeit,300+0,Anl,1464,-2,-263,1926,-462
buka,1551,+12,Rated Blitz game,Ruy Lopez,0,https://lichess.org/tEK49ssj,Time forfeit,300+2,mirumen,1594,-12,47,1551,43
acetaminophen,1906,+9,Rated Classical game,Old Benoni Defense,0,https://lichess.org/ILXyo85D,Normal,900+0,Mamiraua,1909,-74,-43,1906,3
toba_nomade,1335,+6,Rated Classical game,King's Knight Opening,0,https://lichess.org/OWfcbTTZ,Normal,300+8,Golderberg,1170,-41,131,1335,-165
Jeverett91,1662,-10,Rated Classical game,French Defense,1,https://lichess.org/qXhlxAjz,Normal,300+5,Barkeep,1694,+13,-8,1662,32
bodul,1609,-17,Rated Blitz game,Scotch Game,1,https://lichess.org/VxptyBo0,Normal,300+3,Vlast777,1426,+20,36,1609,-183
robert0823,1860,+7,Rated Bullet game,Bird Opening,0,https://lichess.org/AXPF8Xgf,Normal,60+0,mikeisapro,1662,-6,-29,1860,-198
falanx,1623,-9,Rated Bullet game,Gedult's Opening,1,https://lichess.org/K8TveiDs,Time forfeit,0+2,Murderinlaw,1692,+9,-151,1623,69
TinyCat,1602,+14,Rated Bullet game,Hungarian Opening,0,https://lichess.org/jEy9mxYa,Normal,0+1,lichinut,1709,-14,-609,1602,107
Nigeria9tmare,1631,-9,Rated Blitz game,King's Knight Opening,1,https://lichess.org/E5aC0IL8,Normal,300+4,URIAHURIAH,1716,+8,53,1631,85
kadeq,1396,-4,Rated Classical game,Benoni Defense,1,https://lichess.org/SRzPdWZl,Normal,300+7,Rohan2013,1650,+4,12,1396,254
farmer1144,1531,-10,Rated Classical game,French Defense,1,https://lichess.org/03I2hTIP,Normal,600+8,jackinnet,1589,+11,-62,1531,58
NimzoBros,1735,-11,Rated Classical game,Four Knights Game,1,https://lichess.org/6Emzl7P2,Normal,900+6,AHORALASS,1646,+151,166,1735,-89
GIL180363,1668,-9,Rated Blitz game,Queen's Gambit Refused,1,https://lichess.org/T30tTLBh,Normal,300+0,KTtris,1716,+9,0,1668,48
yasim,1456,-8,Rated Classical game,Philidor Defense,1,https://lichess.org/SwNxfd4C,Normal,600+10,aqua77,1545,+9,75,1456,89
makulydj,1342,+12,Rated Classical game,Scandinavian Defense,0,https://lichess.org/yFJrnGGU,Time forfeit,600+0,vpb1,1383,-12,432,1342,41
joueetnuit,1314,-5,Rated Blitz game,French Defense,1,https://lichess.org/PcYO7T7W,Normal,420+0,cercliste,1529,+5,118,1314,215
Firebird82,1823,+6,Rated Bullet game,Zukertort Opening,0,https://lichess.org/bx1mXOzb,Normal,60+0,mikeisapro,1656,-6,15,1823,-167
gallero2015,1350,-4,Rated Classical game,Pirc Defense #5,1,https://lichess.org/QhKoqze9,Time forfeit,300+8,dimehola,1633,+4,104,1350,283
aslk,1667,-13,Rated Bullet game,Zukertort Opening,1,https://lichess.org/q3QXJenH,Time forfeit,0+1,PILOTVE,1565,+15,154,1667,-102
kd350,1113,-6,Rated Bullet game,Owen Defense,1,https://lichess.org/EJ5ZJRGq,Time forfeit,120+0,knightmoves13,1314,+37,155,1113,201
bumblebee,1268,-12,Rated Blitz game,French Defense,1,https://lichess.org/6IzMvcIu,Time forfeit,240+4,mans00r,1253,+17,-40,1268,-15
AlfiereBiancoNero,1755,+9,Rated Classical game,French Defense,0,https://lichess.org/8X7J6Qi5,Normal,480+0,CRAC,1708,-9,-19,1755,-47
PILOTVE,1580,-10,Rated Bullet game,King's Gambit Declined,1,https://lichess.org/BcHdXjJZ,Time forfeit,0+1,aslk,1654,+8,52,1580,74
djin,1944,-7,Rated Bullet game,Sicilian Defense,1,https://lichess.org/5ltJ5Cwg,Time forfeit,60+0,nazaki1234,2084,+7,33,1944,140
lSentenzal,1300,+27,Rated Classical game,Horwitz Defense,0,https://lichess.org/LT2uzzB9,Normal,300+8,Gerrinson,1437,-16,103,1300,137
Zzorro,1732,+10,Rated Bullet game,Queen's Pawn Game #2,0,https://lichess.org/JwaSNyeU,Time forfeit,60+0,bombozik,1729,-10,116,1732,-3
bardamu35,2145,-26,Rated Blitz game,Caro-Kann Defense,1,https://lichess.org/LkrmM87E,Normal,300+0,Muschicat,1793,+20,0,2145,-352
nicksart,1480,+8,Rated Blitz game,Slav Defense,0,https://lichess.org/YUWvqrmg,Normal,240+1,xowman,1390,-9,16,1480,-90
Johaquimov,1864,-10,Rated Blitz game,Sicilian Defense,1,https://lichess.org/o1XebsFZ,Normal,300+0,Annibal,1863,+12,21,1864,-1
aslk,1662,-13,Rated Bullet game,Owen Defense,1,https://lichess.org/nH4YO43w,Normal,0+1,PILOTVE,1570,+15,74,1662,-92
mpf01,1784,+12,Rated Blitz game,Sicilian Defense,0,https://lichess.org/phaCMQbg,Normal,180+2,SenatorDakotaFanning,1826,-12,67,1784,42
Aleks_Chess,1604,-5,Rated Blitz game,Benko Gambit,1,https://lichess.org/5znwZLXA,Normal,300+0,diegochar,1872,+4,41,1604,268
soapytime,2086,+8,Rated Classical game,Sicilian Defense,0,https://lichess.org/ziBSBiOn,Normal,480+12,Bishnu,1958,-8,12,2086,-128
Jaume19,1697,-3,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,French Defense,1,https://lichess.org/nuZOOn7i,Normal,300+0,uluncha,1991,+5,35,1697,294
misaaa,1757,-17,Rated Bullet game,King's Indian Defense,1,https://lichess.org/0yixxraA,Normal,120+1,bjagus,1567,+16,55,1757,-190
mark28_biedermann,2139,+14,Rated Blitz game,English Opening,0,https://lichess.org/JSh4QPKa,Normal,180+0,hyudga,2240,-14,24,2139,101
Bozzeen,1418,-9,Rated Blitz game,Center Game,1,https://lichess.org/8knleGET,Normal,300+0,curiousjoe,1494,+8,19,1418,76
ru63n,1339,+8,Rated Classical game,King's Pawn Game,0,https://lichess.org/UpLCtg53,Normal,1200+0,hagitragger,1232,-9,528,1339,-107
mikeisapro,1650,+11,Rated Bullet game,Queen's Gambit Refused,0,https://lichess.org/XkkYpw0Q,Normal,60+0,Chebyschev,1641,-10,21,1650,-9
emorycook,1386,-4,Rated Bullet game,Slav Defense #2,1,https://lichess.org/96gWyeTn,Normal,120+1,metapparatus0001989,1612,+62,48,1386,226
kvanvel,965,+30,Rated Blitz game,King's Pawn Game,0,https://lichess.org/l3gozshT,Time forfeit,420+0,nlz,1349,-22,-435,965,384
tigr1962,1621,-7,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Owen Defense,1,https://lichess.org/ALWfCEKk,Normal,300+0,benpig,1797,+7,96,1621,176
stepherson29,1417,-16,Rated Classical game,Nimzowitsch Defense,1,https://lichess.org/5GHlPg8B,Time forfeit,480+0,juniorbr21,1297,+17,0,1417,-120
VishyFan,1424,+17,Rated Blitz game,Nimzowitsch Defense,0,https://lichess.org/e7P9GxF2,Normal,120+7,tedancheta,1589,-17,535,1424,165
PILOTVE,1585,+13,Rated Bullet game,King's Gambit Accepted,0,https://lichess.org/e1WQPjKu,Time forfeit,0+1,aslk,1649,-13,75,1585,64
mrRingo,1481,-7,Rated Blitz game,Indian Game,1,https://lichess.org/07pEZQLi,Time forfeit,180+0,Alkalimetal,1602,+8,27,1481,121
Kapsarov,1784,+13,Rated Bullet game,Nimzo-Larsen Attack,0,https://lichess.org/GU6pgNdd,Normal,60+0,Firebird82,1829,-12,-105,1784,45
mne__povezlo,1355,-6,Rated Blitz game,Queen's Gambit Declined,1,https://lichess.org/EZDJCGPw,Time forfeit,300+0,mime45,1593,+6,40,1355,238
Murderinlaw,1701,+9,Rated Bullet game,Indian Game,0,https://lichess.org/OCfMsgHy,Normal,0+2,falanx,1614,-8,-435,1701,-87
benmakhlouf_yns,1906,-18,Rated Bullet game,Hungarian Opening,1,https://lichess.org/T6dmZ4Mo,Time forfeit,0+1,lichinut,1695,+17,32,1906,-211
ximoxo,1958,+3,Rated Classical game,Caro-Kann Defense,0,https://lichess.org/JpVBnwqQ,Normal,600+0,DanDan2016,1620,-5,17,1958,-338
bombozik,1719,+11,Rated Bullet game,French Defense,0,https://lichess.org/MYXHc7jZ,Normal,60+0,Zzorro,1742,-10,32,1719,23
Guido1987,1563,-15,Rated Classical game,Queen's Pawn Game #2,1,https://lichess.org/bU7q90U8,Normal,300+7,aprozclassic,1625,+9,89,1563,62
curiousjoe,1502,-14,Rated Blitz game,Queen's Gambit Accepted,1,https://lichess.org/HqRUZBi5,Normal,300+0,Bozzeen,1409,+14,228,1502,-93
ventu,1708,-22,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/SjA9WzwA,Time forfeit,240+0,pzd060,1645,+13,105,1708,-63
Grand2Home,1676,-193,Rated Classical game,Queen's Gambit Accepted,1,https://lichess.org/75xm6aJa,Normal,600+0,CarrieGasparow,1474,+47,140,1676,-202
chessbona,1726,-8,Rated Blitz game,Queen's Gambit Accepted,1,https://lichess.org/dddNO3lX,Normal,180+0,Chebyschev,1790,+9,38,1726,64
williamchenmodafoka,1122,-11,Rated Classical game,Sicilian Defense,1,https://lichess.org/ZntB7GiC,Normal,300+5,Omnius,1159,+49,0,1122,37
B556,1705,+87,Rated Classical game,English Opening,0,https://lichess.org/jmxS8p36,Normal,600+5,I_will_Dominate,1889,-15,207,1705,184
knightmoves13,1454,-8,Rated Blitz game,Englund Gambit,1,https://lichess.org/BmMFqffJ,Normal,180+0,OH_IO,1574,+8,232,1454,120
Firebird82,1817,-12,Rated Bullet game,Modern Defense,1,https://lichess.org/yEWQ9Ykn,Time forfeit,60+0,Kapsarov,1797,+11,148,1817,-20
SenatorDakotaFanning,1814,-12,Rated Blitz game,Slav Defense #2,1,https://lichess.org/jTI1YSC0,Normal,180+2,mpf01,1796,+11,-70,1814,-18
Z02,1500,-96,Rated Classical game,King's Gambit Accepted,1,https://lichess.org/2PT7lFcc,Time forfeit,300+8,mix55,1710,+5,28,1500,210
aslk,1636,-11,Rated Bullet game,Zukertort Opening,1,https://lichess.org/5jYxCiML,Time forfeit,0+1,PILOTVE,1598,+13,51,1636,-38
Sheva_7,1450,-9,Rated Classical game,King's Pawn Game,1,https://lichess.org/4zjgUt9e,Normal,480+1,--o-o-o--,1531,+9,-7,1450,81
gg4u,1183,+20,Rated Blitz game,Slav Defense,0,https://lichess.org/yUaKWxhl,Normal,180+0,HarvLRev,1305,-16,95,1183,122
pelao,1596,+13,Rated Blitz game,Petrov,0,https://lichess.org/EP0USz1q,Normal,240+2,chico202000,1643,-13,98,1596,47
nazaki1234,2091,-15,Rated Bullet game,French Defense,1,https://lichess.org/y9PDH4Ug,Time forfeit,60+0,djin,1937,+15,-2,2091,-154
danishshres,1466,-15,Rated Classical game,Bird Opening,1,https://lichess.org/wuWu45pB,Normal,900+15,qorz,1356,+16,348,1466,-110
Zzorro,1732,-10,Rated Bullet game,Queen's Gambit Accepted,1,https://lichess.org/SemzMRej,Normal,60+0,bombozik,1730,+10,122,1732,-2
Unforget,1066,+20,Rated Blitz game,King's Pawn Game,0,https://lichess.org/lqlmUqG2,Time forfeit,420+0,PedroMarhaJimenez,1218,-16,80,1066,152
effeundici,1488,+9,Rated Classical game,Sicilian Defense,0,https://lichess.org/pY0RlMym,Normal,720+0,SIKENDER--ALI,1453,-85,-32,1488,-35
teco,1505,+25,Rated Classical game,Philidor Defense,0,https://lichess.org/g9WHNdht,Normal,960+6,CautiousKamikaze,1716,-18,38,1505,211
galita,1307,-9,Rated Bullet game,Philidor Defense #2,1,https://lichess.org/zkCkx3el,Time forfeit,60+1,vika-5,1372,+9,107,1307,65
giaccomo,1448,+7,Rated Classical game,Scandinavian Defense,0,https://lichess.org/Os5r3Yt6,Normal,300+8,lSentenzal,1327,-13,259,1448,-121
wcasique2000,1526,-10,Rated Blitz game,Modern Defense,1,https://lichess.org/tSUkijtn,Time forfeit,360+0,najjih,1533,+10,92,1526,7
safo,1152,+61,Rated Blitz game,Indian Game,0,https://lichess.org/VtC2JawP,Normal,300+2,Gerrinson,1384,-17,306,1152,232
aqua77,1554,+8,Rated Classical game,King's Pawn Game,0,https://lichess.org/3qokBqvv,Normal,600+10,yasim,1448,-8,7,1554,-106
misaaa,1738,+8,Rated Blitz game,French Defense,0,https://lichess.org/hrEcktaQ,Time forfeit,180+0,luiguimon0305,1650,-72,-23,1738,-88
Nigeria9tmare,1622,+7,Rated Blitz game,King's Gambit Accepted,0,https://lichess.org/3X0lXq4u,Normal,300+4,Der_Steppenwolf,1477,-6,12,1622,-145
BND,1967,+9,Rated Blitz game,Queen's Pawn Game #2,0,https://lichess.org/idNex7Qq,Time forfeit,300+0,betka321,1889,-9,-11,1967,-78
Richarty,1860,+6,Rated Bullet game,Queen's Pawn Game,0,https://lichess.org/MjpefNpu,Time forfeit,120+1,newslon,1698,-7,29,1860,-162
vadimdim,1681,+15,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Rubinstein Opening,0,https://lichess.org/oWlaCEkU,Normal,300+0,caballomanco,1761,-15,21,1681,80
champtazz14,1840,-17,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/KJLZIMqi,Normal,300+7,Rohan2013,1654,+17,39,1840,-186
bonkar,1549,+10,Rated Blitz game,Van't Kruijs Opening,0,https://lichess.org/JzXa67dm,Time forfeit,240+0,patolomeu,1538,-11,6,1549,-11
hyudga,2226,+9,Rated Blitz game,Pirc Defense,0,https://lichess.org/gKTer2ru,Normal,180+0,mark28_biedermann,2153,-9,49,2226,-73
INTIWATANA,1673,-16,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Englund Gambit Complex,1,https://lichess.org/MvVBq4Bu,Normal,300+0,juliocrv,1690,+11,397,1673,17
nicksart,1488,+15,Rated Blitz game,French Defense,0,https://lichess.org/CGTqa6PK,Normal,240+1,ArchisT,1612,-14,303,1488,124
URIAHURIAH,1724,-12,Rated Blitz game,King's Pawn Game,1,https://lichess.org/SBkgaean,Time forfeit,300+0,leninas,1678,+12,177,1724,-46
falanx,1606,+14,Rated Bullet game,Scandinavian Defense,0,https://lichess.org/YpzEILD4,Time forfeit,0+2,Murderinlaw,1710,-15,67,1606,104
Bozzeen,1423,-9,Rated Blitz game,Ruy Lopez,1,https://lichess.org/q9sA7YsJ,Normal,300+0,curiousjoe,1488,+9,38,1423,65
Taolu,2201,+11,Rated Classical game,French Defense,0,https://lichess.org/gWxNpWAI,Normal,480+12,soapytime,2094,-8,24,2201,-107
Perfectionisttt,1571,+5,Rated Blitz game,Sicilian Defense,0,https://lichess.org/Wcf8S5e3,Normal,180+0,yincao,1340,-5,4,1571,-231
Kobylka,1973,-14,Rated Blitz game,Sicilian Defense,1,https://lichess.org/KGXodh0I,Normal,180+3,Yaqirah,1874,+13,59,1973,-99
Kapsarov,1916,+17,Rated Classical game,Italian Game,0,https://lichess.org/SPEEoVzr,Normal,300+8,pachamama,2157,-20,225,1916,241
metapparatus0001989,1674,-197,Rated Bullet game,English Defense #2,1,https://lichess.org/5qujB1aa,Normal,120+1,emorycook,1382,+15,464,1674,-292
fluorescenza,1467,-2,Rated Classical game,Sicilian Defense,1,https://lichess.org/CE16BhPp,Normal,2400+8,sbnsk,1907,+8,37,1467,440
Plumbico,1388,-16,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/ZoKGE5E6,Normal,180+3,arglebooster,1235,+28,115,1388,-153
ChessPoker,1688,-11,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Old Indian Defense,1,https://lichess.org/ZJndtkhZ,Time forfeit,300+0,avo1948,1733,+11,83,1688,45
bombozik,1740,-10,Rated Bullet game,French Defense,1,https://lichess.org/Sbey1Nok,Time forfeit,60+0,Zzorro,1722,+10,2,1740,-18
mpf01,1807,-11,Rated Blitz game,Philidor Defense #4,1,https://lichess.org/QzDNQ25T,Time forfeit,180+2,SenatorDakotaFanning,1802,+11,43,1807,-5
peaopeao,1652,-1,Rated Blitz game,Scandinavian Defense,2,https://lichess.org/T1a1yzlU,Time forfeit,300+0,Richard10,1630,+1,-107,1652,-22
diegochar,1876,-19,Rated Blitz game,English Opening,1,https://lichess.org/qF2QrRED,Normal,300+0,Aleks_Chess,1599,+19,74,1876,-277
tlewis,1072,-17,Rated Blitz game,Queen's Pawn,1,https://lichess.org/5Rj6cHqv,Normal,300+2,Gerrinson,1367,+4,487,1072,295
nele93,1422,+8,Rated Classical game,Hungarian Opening,0,https://lichess.org/VcYwXIMP,Normal,660+12,rtro,1309,-9,107,1422,-113
juanelo333,1778,-10,Rated Classical game,Van't Kruijs Opening,1,https://lichess.org/xmPheBYk,Normal,120+12,B556,1792,+49,7,1778,14
Fmxxx,1924,-11,Rated Blitz game,Scotch Game,1,https://lichess.org/HcKSiMVb,Time forfeit,180+2,Tingolt,1920,+14,24,1924,-4
safo,1213,+39,Rated Blitz game,Alekhine Defense,0,https://lichess.org/DDUsOI4H,Normal,300+0,Cocomo,1252,-13,494,1213,39
djin,1952,-7,Rated Bullet game,Sicilian Defense,1,https://lichess.org/DWHmrYXH,Time forfeit,60+0,nazaki1234,2076,+7,62,1952,124
ninjernacci,1260,-47,Rated Bullet game,Yusupov-Rubinstein System,1,https://lichess.org/IxZBorqM,Normal,0+3,Calisto,1464,+6,18,1260,204
mrpleasant,1351,+8,Rated Blitz game,Pirc Defense #4,0,https://lichess.org/3IC36ElY,Normal,360+0,chessmen,1236,-8,-76,1351,-115
zvakht,2282,+2,Rated Bullet game,Sicilian Defense,0,https://lichess.org/4XPBhe5k,Normal,60+0,subteacher,1884,-2,-62,2282,-398
Anl,1462,-1,Rated Blitz game,Queen's Pawn Game,1,https://lichess.org/NJZgnpma,Time forfeit,300+0,khardal,1928,+2,62,1462,466
Testaccount8,1405,+20,Rated Classical game,Sicilian Defense,0,https://lichess.org/m22G3P5p,Time forfeit,1500+0,xvid,1711,-20,-45,1405,306
Murderinlaw,1695,-13,Rated Bullet game,Indian Game,1,https://lichess.org/CcNB6I9G,Time forfeit,0+2,falanx,1620,+13,143,1695,-75
grasshopper,1808,-14,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Modern Defense,1,https://lichess.org/8wM4sCkN,Normal,300+0,caballomanco,1746,+14,13,1808,-62
spielose,1479,-10,Rated Classical game,Scotch Game,1,https://lichess.org/AjEzvQFO,Normal,720+0,effeundici,1497,+10,29,1479,18
Railbird80,1461,-11,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/Ovq0PFWg,Time forfeit,300+5,adoum1987fadoul,1468,+10,-6,1461,7
kikilin_network,1478,-42,Rated Blitz game,Sicilian Defense,1,https://lichess.org/QSoUyoIh,Normal,300+0,jrui,1079,+23,3,1478,-399
Ice_Occultism,1028,-13,Rated Bullet game,Sicilian Defense #2,1,https://lichess.org/GMR9dnQk,Time forfeit,120+1,Smok,1370,+3,391,1028,342
Bogdan_271051,1579,+2,Rated Classical game,Italian Game,0,https://lichess.org/3X5mEi6B,Normal,600+0,Golderberg,1129,-9,3,1579,-450
LogicallyCompromised,1573,-14,Rated Blitz game,Dutch Defense,1,https://lichess.org/7aAiAtL1,Normal,300+0,mrRingo,1474,+13,36,1573,-99
emorycook,1397,+11,Rated Bullet game,Queen's Pawn Game,0,https://lichess.org/o6c9JfFg,Normal,120+1,metapparatus0001989,1477,-109,3,1397,80
hagitragger,1223,+15,Rated Classical game,Philidor Defense #3,0,https://lichess.org/zzqFEoGY,Normal,1200+0,TheY2AProblem,1269,-12,0,1223,46
juanca_23,1490,-3,Rated Classical game,Four Knights Game,1,https://lichess.org/ymJzp7dM,Time forfeit,420+5,anatoli1954,1826,+4,44,1490,336
paulop,1240,-7,Rated Classical game,Old Benoni Defense,1,https://lichess.org/3LknhiuC,Normal,600+0,Tony50,1525,+4,194,1240,285
falanx,1633,-9,Rated Bullet game,Scandinavian Defense,1,https://lichess.org/pULa7auu,Normal,0+2,Murderinlaw,1682,+10,51,1633,49
Gammafunction,1599,-11,Rated Classical game,Queen's Pawn Game,1,https://lichess.org/ozPNdTJE,Normal,300+8,protagonic,1707,+8,-10,1599,108
CRAC,1699,-9,Rated Classical game,Philidor Defense,1,https://lichess.org/5fINpj97,Time forfeit,480+0,AlfiereBiancoNero,1764,+9,-68,1699,65
vadimdim,1696,+3,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Scandinavian Defense,2,https://lichess.org/mBJ7MDZ0,Normal,300+0,sella,1811,-3,54,1696,115
subteacher,1882,-3,Rated Bullet game,Caro-Kann Defense,1,https://lichess.org/rwD0X8KD,Time forfeit,60+0,zvakht,2284,+3,76,1882,402
benpig,1804,-17,Rated Blitz tournament https://lichess.org/tournament/SQSpfQ3l,Sicilian Defense,1,https://lichess.org/qsVpzubd,Normal,300+0,INTIWATANA,1657,+23,42,1804,-147
juliokaesar,1566,+3,Rated Classical game,Amar Opening,0,https://lichess.org/CK6ijynC,Normal,300+8,TetaDarija01,1229,-4,-419,1566,-337
jackinnet,1600,-16,Rated Classical game,Hungarian Opening,1,https://lichess.org/WCJKIVIw,Normal,600+8,farmer1144,1521,+14,25,1600,-79
Zzorro,1732,+10,Rated Bullet game,Queen's Gambit Declined,0,https://lichess.org/IhxVRJmR,Time forfeit,60+0,bombozik,1730,-11,64,1732,-2
ru63n,1347,-3,Rated Classical game,Gruenfeld Defense,1,https://lichess.org/yQQsokDJ,Normal,600+5,xowman,1649,+4,32,1347,302
ostrinker,1372,+105,Rated Classical game,Italian Game,0,https://lichess.org/xsqhjBva,Normal,600+8,GoldGuardian123,1322,-37,287,1372,-50
JeffChess,1866,-6,Rated Blitz game,French Defense,1,https://lichess.org/C4hBnp4y,Normal,60+4,amayak,2038,+5,-35,1866,172
pece_29,1421,-7,Rated Classical game,Queen's Pawn,1,https://lichess.org/7hUNXiUE,Normal,480+0,Blueth,1535,+8,568,1421,114
tabelatabela,1731,-4,Rated Blitz game,Scandinavian Defense,1,https://lichess.org/sZzOLoQv,Normal,300+0,Process,2003,+4,57,1731,272
JakestheSnakes,1492,-14,Rated Classical game,Dutch Defense,1,https://lichess.org/RhYXrbYK,Normal,300+5,Byuzich,1415,+13,74,1492,-77
